"","subject","presp","ssd","nthRT","ssrt","sRT","raceTest","acc.ns","rt.ns"
"50.98039%","1234",0.509803921568627,0.0377941176470588,0.399230775711875,0.361436658064816,0.369931894353515,0.04895646228294,0.98,0.413537355305605
"43.13725%","1408",0.431372549019608,0.166617647058824,0.557083898023976,0.390466250965153,0.501096457921879,0.0737520832920939,1,0.550409031387471
"41.17647%","Adonis",0.411764705882353,0.181323529411765,0.497714030946629,0.316390501534864,0.45888609552688,0.0823488901134826,0.984615384615385,0.514736209577376
"44.11765%","AHJ",0.441176470588235,0.110294117647059,0.458178923420286,0.347884805773227,0.427200954366708,0.0539398609589803,0.989510489510489,0.464715104473281
"47.05882%","alder",0.470588235294118,0.104852941176471,0.507224511737278,0.402371570560807,0.509525546319492,0.0158290141196012,0.975524475524476,0.516898967275449
"41.17647%1","anja220",0.411764705882353,0.152205882352941,0.506537718019065,0.354331835666123,0.476138997481515,0.0568758073990276,0.992753623188406,0.515247179469583
"44.11765%1","askeq",0.441176470588235,0.184852941176471,0.577013382409453,0.392160441232982,0.506644410681393,0.084384882794404,0.983606557377049,0.564826929648795
"48.03922%","avs",0.480392156862745,0.0357352941176471,0.46280323025775,0.427067936140103,0.413470482538283,0.0694419518353125,0.982817869415808,0.474142680833787
"46.07843%","BareEnAnders",0.46078431372549,0.0860294117647059,0.394594766829373,0.308565355064667,0.370017229866217,0.0429387249653882,1,0.412955954831605
"47.05882%1","CD",0.470588235294118,0.102205882352941,0.489836426355417,0.387630544002476,0.435948144670147,0.0723290378102462,0.996621621621622,0.50193618599649
"47.05882%2","Cecilie",0.470588235294118,0.124558823529412,0.540448966448414,0.415890142919003,0.461588271321064,0.0950342227844136,0.99625468164794,0.536215038130653
"48.03922%1","Ditte",0.480392156862745,0.0716176470588235,0.459577285210766,0.387959638151943,0.41762761311387,0.0527688898569453,0.996732026143791,0.470133619868868
"41.17647%2","FARLIGT",0.411764705882353,0.163970588235294,0.597297864399768,0.433327276164474,0.53988739448666,0.0688278309347188,0.97907949790795,0.583720270912491
"44.11765%2","FSJ",0.441176470588235,0.221323529411765,0.456764375270851,0.235440845859086,0.428749747454033,0.0675528107979487,1,0.482819234433349
"45.09804%","hania",0.450980392156863,0.0895588235294118,0.553123603729068,0.463564780199656,0.523292658394443,0.042189246539674,0.966789667896679,0.550769509376962
"43.13725%1","Helene",0.431372549019608,0.1475,0.50420000213381,0.35670000213381,0.441707951558055,0.0794803406938597,1,0.518218407624144
"41.17647%3","Ida",0.411764705882353,0.162794117647059,0.453614231464727,0.290820113817668,0.432570458040018,0.0569261700607555,1,0.474777559636379
"43.13725%2","Jakob",0.431372549019608,0.116323529411765,0.474998287572446,0.358674758160681,0.416603557820318,0.0865161950387421,0.993174061433447,0.494903487133559
"28.43137%","Jakobtry2",0.284313725490196,0.277205882352941,0.542459279379544,0.265253397026602,0.493438813847262,0.123222326468699,1,0.542976605066213
"45.09804%1","Jakub22",0.450980392156863,0.112205882352941,0.481375911803551,0.36917002945061,0.42723186237778,0.0792654680434728,0.989285714285714,0.489219657732476
"48.03922%2","KasperM",0.480392156862745,0.0257352941176471,0.405368559090786,0.379633264973139,0.37970906291157,0.039562922179565,0.996699669966997,0.416809510342801
"47.05882%3","Kevan",0.470588235294118,0.0751470588235294,0.431184649764627,0.356037590941097,0.406409056144935,0.0399894985438828,0.966555183946488,0.441237975961229
"48.03922%3","KK",0.480392156862745,0.0230882352941176,0.528216051198765,0.505127815904647,0.494121634329453,0.0470749661960659,0.982817869415808,0.533901221827749
"45.09804%2","Lina",0.450980392156863,0.0723529411764706,0.460971189948488,0.388618248772018,0.417218600509628,0.0658705010639983,0.989761092150171,0.474870382674873
"45.09804%3","LT0799",0.450980392156863,0.0804411764705883,0.519232979042378,0.43879180257179,0.467438279987444,0.0732174053240828,0.993150684931507,0.533705426484712
"44.11765%3","mj",0.441176470588235,0.0983823529411765,0.514755870799726,0.416373517858549,0.465847532781643,0.0722703598620784,1,0.529187859144566
"46.07843%1","Mr Poxycat",0.46078431372549,0.108970588235294,0.453908590266827,0.344938002031533,0.419627930492161,0.0479828501083941,1,0.464533044658137
"48.03922%4","NA_subject",0.480392156862745,0.0377941176470588,0.45220823454084,0.414414116893781,0.409240682206321,0.0677654248491653,0.951388888888889,0.465157038634688
"30.39216%","NMA",0.303921568627451,0.26,0.51839986552094,0.25839986552094,0.515447335051666,0.0675852109497029,0.995454545454545,0.538946408266175
"48.03922%5","Orlalone",0.480392156862745,0.109558823529412,0.49108474750526,0.381525923975848,0.437500679010421,0.0747215742748408,1,0.503220284590816
"45.09804%4","Pernille Brams",0.450980392156863,0.0569117647058824,0.431088039002441,0.374176274296558,0.392022692381769,0.0681434785188511,0.982935153583618,0.451421976652131
"47.05882%4","Q744",0.470588235294118,0.0769117647058824,0.494996356418671,0.418084591712789,0.458609859897964,0.0568386178009997,0.993220338983051,0.509006041548979
"48.03922%6","SHDN",0.480392156862745,0.0927941176470588,0.448981751941827,0.356187634294768,0.417656918886303,0.0492804195630852,0.996610169491525,0.458141677951275
"46.07843%2","Signe",0.46078431372549,0.136323529411765,0.581763001388012,0.445439471976247,0.506607853054029,0.0798961690043197,0.985865724381625,0.579101698169164
"44.11765%4","Silja",0.441176470588235,0.138970588235294,0.492246085587013,0.353275497351719,0.450438097621615,0.0647104757795341,0.993197278911565,0.508282889858824
"46.07843%3","SK",0.46078431372549,0.0719117647058824,0.449536961616661,0.377625196910778,0.410864383387974,0.0597125443188826,0.989966555183946,0.466070770420491
"45.09804%5","SKB",0.450980392156863,0.114264705882353,0.496605293750284,0.382340587867931,0.450814442545601,0.0627381073991888,0.993288590604027,0.508295897638763
"42.15686%","sm2344",0.42156862745098,0.162205882352941,0.54655764703066,0.384351764677719,0.480681648906127,0.098788301168354,0.983050847457627,0.544584896059665
"46.07843%4","Sommer",0.46078431372549,0.0960294117647059,0.516525561121285,0.42049614935658,0.462818463053183,0.0741028196301741,0.989473684210526,0.526582767930586
"38.23529%","sophierand",0.382352941176471,0.223088235294118,0.541610668470179,0.318522433176061,0.527326243797404,0.0567038107837211,1,0.540156830146674
"46.07843%5","TDK",0.46078431372549,0.0754411764705882,0.504805511856102,0.429364335385514,0.455275006280305,0.0615185018170745,0.986622073578595,0.514097419656839
"45.09804%6","tom_cruise_449966881rd",0.450980392156863,0.121029411764706,0.430879418848096,0.30985000708339,0.40324665835727,0.0476371534702498,0.993355481727575,0.446736493833884
"45.09804%7","TP",0.450980392156863,0.0777941176470588,0.436396707086504,0.358602589439445,0.397140028676823,0.0618728092381721,0.990066225165563,0.456428571190451
"44.11765%5","Tredje",0.441176470588235,0.151029411764706,0.49952792757403,0.348498515809325,0.43554562978938,0.0926770906989369,0.98932384341637,0.51516404064314
"47.05882%5","TRS",0.470588235294118,0.139852941176471,0.587004990651964,0.447152049475493,0.532280632045088,0.0620700659079684,0.98780487804878,0.570806056240917
"44.11765%6","Ulrik D",0.441176470588235,0.117205882352941,0.6254592462941,0.508253363941159,0.550735480100977,0.0758254898871064,0.955555555555556,0.605714138675357
"50%","Verdensborgeren",0.5,0.0107352941176471,0.445962877001148,0.435227582883501,0.375232411810772,0.0701116408317295,0.980263157894737,0.445395222055685
"46.07843%6","whatup",0.46078431372549,0.108676470588235,0.539120214004366,0.430443743416131,0.466326802671253,0.0911062564149119,1,0.541940075415629
